file,WER,Deletions,Substitutions,Insertions
04_Maroon_5_Memories.txt,0.08,"{'yeah': 1, 'ayyayy': 1, 'and': 1, 'ayy': 1}","{'here': {'that': 1}, 'today': {'it': 1}, 'you': {'yours': 1}, 'go': {'gonna': 1}}","{'aint': 1, 'of': 1, 'everything': 1, 'weve': 1}"
24_Lil_Baby_Woah.txt,0.32,{'lie': 1},"{'come': {'go': 1}, 'its': {'explore': 1}, 'roarin': {'you': 1}, 'yeah': {'know': 1, 'how': 1}, 'you': {'im': 2, 'oh': 1, 'i': 1, 'cant': 1, 'that': 1, 'kind': 1, 'got': 1, 'house': 1, 'comparison': 1}, 'know': {'coming': 2}, 'how': {'you': 1, 'been': 1}, 'im': {'know': 1, 'over': 1}, 'comin': {'how': 1, 'then': 1}, 'bend': {'i': 1}, 'her': {'murkered': 1, 'you': 1, 'batch': 1}, 'over': {'hawk': 1}, 'then': {'on': 1}, 'i': {'it': 1, 'buying': 1, 'aint': 1, 'if': 1, '100000': 1, 'even': 1, 'from': 1}, 'murk': {'if': 1}, 'call': {'want': 1}, 'gunna': {'your': 1}, 'if': {'burger': 1, 'she': 1}, 'want': {'baby': 1}, 'a': {'be': 1, 'her': 1, 'we': 1}, 'birkin': {'lining': 1}, 'oh': {'your': 1}, 'baby': {'verses': 1}, 'lyin': {'here': 1}, 'in': {'and': 2, 'guarantee': 1, 'do': 1, 'low': 1, 'year': 2}, 'your': {'say': 1}, 'verses': {'you': 1}, 'be': {'them': 1, 'mouth': 1, 'out': 1}, 'hearin': {'purses': 1}, 'say': {'i': 1}, 'buyin': {'even': 1}, 'em': {'lie': 1, 'niggas': 1, 'looks': 1}, 'purses': {'you': 1}, 'cant': {'my': 1}, 'even': {'type': 1, 'in': 1, 'me': 1, 'to': 1}, 'my': {'even': 1, 'every': 1, 'not': 1, 'of': 1}, 'type': {'know': 1}, 'aint': {'fine': 1, 'keep': 1, 'tried': 1}, 'all': {'purses': 1}, 'that': {'i': 1}, 'fine': {'can': 1}, 'person': {'you': 1}, 'can': {'you': 1, 'in': 1, 'my': 1}, 'guarantee': {'my': 1}, 'kind': {'bag': 1}, 'she': {'you': 1}, 'got': {'can': 1, 'traffic': 1}, 'every': {'imagine': 1}, 'bag': {'big': 1}, 'imagine': {'really': 1}, 'big': {'be': 1, 'and': 1}, 'house': {'bragging': 1}, 'really': {'my': 1, 'here': 1}, 'braggin': {'like': 1}, 'hundred': {'whats': 1}, 'thousand': {'bad': 1}, 'mouth': {'the': 1}, 'like': {'big': 1}, 'whats': {'cheap': 1}, 'happenin': {'she': 1}, 'not': {'does': 1}, 'the': {'embarrass': 1, 'probably': 1, 'turning': 1}, 'cheap': {'he': 1}, 'teeth': {'aint': 1}, 'thats': {'me': 1}, 'embarrasin': {'you': 1}, 'he': {'can': 1}, 'me': {'the': 1, 'last': 1}, 'keep': {'bitch': 1}, 'comparisons': {'one': 1}, 'bitch': {'the': 1}, 'probably': {'baddies': 1}, 'one': {'good': 1}, 'of': {'girl': 1}, 'baddest': {'into': 1}, 'good': {'a': 1}, 'girl': {'savage': 1}, 'turned': {'this': 1}, 'into': {'got': 1}, 'savage': {'problem': 1}, 'dispatch': {'in': 1}, 'problem': {'cant': 1}, 'traffic': {'it': 1}, 'we': {'matching': 1}, 'came': {'she': 1}, 'through': {'wagging': 1}, 'matching': {'key': 1}, 'gwagons': {'i': 1}, 'lowkey': {'been': 1}, 'ive': {'keeping': 1}, 'been': {'it': 1}, 'keeping': {'classy': 1}, 'it': {'could': 1}, 'classy': {'be': 1}, 'could': {'really': 1}, 'out': {'doing': 1}, 'here': {'them': 1}, 'doin': {'nasty': 1}, 'nasty': {'couldnt': 1}, 'niggas': {'even': 1, 'last': 1}, 'couldnt': {'see': 1}, 'see': {'in': 1}, 'last': {'just': 1, 'i': 1}, 'year': {'started': 1}, 'just': {'and': 1}, 'started': {'im': 1}, 'and': {'niggas': 1, 'passed': 1}, 'them': {'in': 1}, 'gear': {'aint': 1}, 'try': {'when': 1}, 'to': {'i': 1}, 'passed': {'giving': 1}}",{'i': 1}
02_Future_Life_Is_Good.txt,0.23,"{'if': 1, 'ayy': 1}","{'workin': {'working': 2}, 'niggas': {'ns': 3, 'they': 1, 'what': 1}, 'doin': {'doing': 2, 'im': 1}, 'that': {'a': 1, 'ns': 1}, 'patek': {'paddock': 2, 'caught': 1}, 'goin': {'going': 1, 'okay': 1}, 'caught': {'call': 1, 'someone': 1}, 'once': {'ones': 1, 'block': 1}, 'id': {'i': 1, 'a': 1}, 'was': {'feels': 1, 'shit': 1}, 'manor': {'man': 1, 'plush': 1}, 'are': {'a': 1}, 'numbered': {'number': 1}, 'wakin': {'waking': 1}, 'some': {'something': 1}, 'off': {'up': 1}, 'baby': {'we': 1}, 'a': {'an': 1}, 'her': {'a': 1}, 'turn': {'turned': 1}, 'the': {'a': 1}, 'givin': {'giving': 1}, 'like': {'ns': 1}, 'usual': {'swear': 1}, 'swear': {'passed': 1}, 'passed': {'doing': 1}, 'us': {'too': 2}, 'they': {'much': 1}, 'much': {'turned': 1}, 'havent': {'up': 1}, 'done': {'virgil': 1}, 'my': {'got': 1, 'slipping': 1}, 'taxes': {'a': 1}, 'im': {'paddock': 1}, 'too': {'on': 1, 'bottoms': 1}, 'turnt': {'my': 1}, 'up': {'wrist': 1, 'man': 1}, 'virgil': {'going': 1}, 'got': {'nuts': 1}, 'on': {'me': 1}, 'wrist': {'ones': 1}, 'nuts': {'so': 1}, 'me': {'hit': 1}, 'slippin': {'your': 1}, 'okay': {'up': 1}, 'so': {'i': 1}, 'what': {'tell': 1}, 'someone': {'you': 1}, 'hit': {'it': 1}, 'your': {'feels': 1}, 'block': {'us': 1}, 'tell': {'house': 1}, 'you': {'in': 1}, 'if': {'rosewood': 1}, 'it': {'this': 1}, 'house': {'its': 1}, 'in': {'cool': 1}, 'rosewood': {'man': 1}, 'this': {'got': 1}, 'shit': {'red': 1}, 'plush': {'on': 1}}","{'a': 1, 'us': 1}"
26_Travis_Scott_HIGHEST_IN_THE_ROOM.txt,0.71,"{'ah': 1, 'i': 1}","{'i': {'oh': 1, 'might': 1, 'with': 1}, 'got': {'the': 1, 'you': 1, 'love': 1}, 'room': {'infinities': 1, 'some': 1, 'you': 1}, 'in': {'her': 1, 'i': 1, 'feel': 1}, 'my': {'phone': 1, 'pm': 1, 'soon': 1, 'alive': 1, 'dont': 1, 'hope': 1, 'bout': 1}, 'fumes': {'shout': 1}, 'yeah': {'out': 1, 'as': 1, 'loot': 1}, 'she': {'here日수오름': 1, 'be': 1, 'it': 1}, 'fill': {'불이оже': 1}, 'mind': {'이렇게': 1}, 'up': {'lui': 1}, 'with': {'there': 1, 'fumed': 1}, 'ideas': {'is': 1}, 'im': {'not': 1, 'hear': 1, 'around': 1, 'is': 1}, 'the': {'any': 1, 'see': 1, 'dont': 1, 'we': 1}, 'highest': {'hope': 1}, 'its': {'things': 1}, 'lit': {'that': 1}, 'hope': {'you': 1, 'die': 1}, 'make': {'fear': 1, 'that': 1}, 'it': {'im': 1, 'i': 1, 'pistol': 1}, 'outta': {'doing': 1, 'on': 1}, 'here': {'a': 1, 'my': 1}, 'lets': {'show': 1}, 'go': {'ill': 1}, 'saw': {'back': 1}, 'eyes': {'tattin': 1}, 'know': {'wanna': 1}, 'gone': {'now': 1}, 'see': {'got': 1}, 'some': {'it': 1}, 'things': {'in': 1}, 'that': {'my': 1, 'hope': 1}, 'you': {'room': 1, 'she': 1, 'i': 1, 'with': 1, 'now': 1}, 'might': {'legs': 1}, 'fear': {'wrapped': 1}, 'doin': {'my': 1}, 'a': {'beard': 1}, 'show': {'got': 1}, 'ill': {'the': 1}, 'be': {'fastest': 1}, 'back': {'car': 1}, 'soon': {'in': 1, 'zoom': 1}, 'aint': {'we': 1}, 'what': {'make': 1}, 'wanna': {'outta': 1, 'it': 1}, 'hear': {'here': 1}, 'nah': {'when': 1}, 'now': {'im': 1}, 'her': {'i': 1}, 'ah': {'say': 1, 'side': 1}, 'legs': {'you': 1}, 'wrapped': {'love': 1}, 'around': {'me': 1}, 'beard': {'you': 1}, 'fastest': {'cry': 1}, 'car': {'but': 1}, 'zoom': {'dont': 1}, 'skrrt': {'wanna': 1}, 'we': {'keep': 1}, 'when': {'case': 1}, 'alive': {'what': 1}, 'say': {'done': 1}, 'love': {'i': 1}, 'me': {'deal': 1}, 'dont': {'im': 1, 'make': 1}, 'lie': {'high': 1}, 'wont': {'a': 1}, 'cross': {'gnome': 1}, 'heart': {'i': 1}, 'die': {'outta': 1}, 'keep': {'here': 1}, 'pistol': {'aint': 1}, 'on': {'stressin': 1}, 'side': {'the': 1}}","{'what': 1, 'my': 1}"
10_Billie_Eilish_everything_i_wanted.txt,0.24,"{'fly': 1, 'care': 1}","{'youd': {'you': 1}, 'mm': {'mmhmm': 1}, 'cried': {'nobody': 1, 'even': 1, 'noticed': 1, 'i': 1}, 'nobody': {'saw': 1}, 'even': {'them': 1}, 'noticed': {'standing': 1}, 'i': {'right': 1, 'me': 1, 'say': 1}, 'saw': {'there': 1}, 'them': {'kinda': 1}, 'standing': {'thought': 1}, 'right': {'they': 1}, 'there': {'might': 1}, 'kinda': {'care': 1}, 'thought': {'i': 1}, 'they': {'had': 1}, 'might': {'a': 1, 'i': 1, 'everything': 1}, 'care': {'dream': 1, 'got': 1}, 'had': {'wanted': 1}, 'a': {'but': 1}, 'dream': {'when': 1}, 'got': {'wake': 1}, 'everything': {'up': 1}, 'wanted': {'see': 1}, 'but': {'you': 1}, 'when': {'with': 1}, 'wake': {'and': 1}, 'up': {'you': 1}, 'see': {'as': 1}, 'you': {'long': 1}, 'with': {'as': 1}, 'me': {'im': 1}}","{'here': 1, 'no': 1}"
18_Maren_Morris_The_Bones.txt,0.08,{'mmm': 1},"{'paint': {'pain': 1}, 'any': {'when': 1}, 'storm': {'its': 1}, 'facing': {'pissing': 1}, 'will': {'the': 1}, 'blow': {'car': 1}, 'put': {'but': 1}}",{'gone': 1}
01_Roddy_Ricch_The_Box.txt,0.22,"{'yeah': 1, 'key': 1, 'for': 1, 'the': 1, 'quarter': 1}","{'pullin': {'eboot': 1}, 'out': {'eboot': 1, 'fuck': 1, 'you': 1, 'put': 1}, 'the': {'eboot': 2, 'fuck': 1, 'swat': 1, 'i': 2, 'get': 1, 'we': 1}, 'coupe': {'eboot': 1}, 'at': {'eboot': 1, 'really': 1, 'wanna': 1, 'the': 1}, 'lot': {'pulling': 1}, 'told': {'out': 1, 'so': 1}, 'em': {'the': 1, 'got': 1}, 'fuck': {'coupe': 1, 'the': 1}, '12': {'at': 1}, 'swat': {'lot': 1}, 'bustin': {'told': 1}, 'all': {'em': 1}, 'bells': {'12': 1}, 'box': {'bustin': 1, 'just': 1, 'put': 1}, 'i': {'all': 1, 'seal': 1, 'nigga': 1, 'ever': 1, 'know': 1, 'cadillac': 1}, 'just': {'the': 1}, 'hit': {'bells': 1}, 'a': {'out': 1, 'to': 1, 'the': 1, 'cash': 1, 'cruisin': 1}, 'lick': {'the': 1}, 'with': {'box': 1}, 'had': {'hit': 1}, 'to': {'a': 1}, 'put': {'lick': 1}, 'stick': {'box': 1}, 'in': {'had': 1, 'at': 1}, 'mmh': {'the': 1}, 'pour': {'stick': 1}, 'up': {'in': 1}, 'whole': {'box': 1}, 'damn': {'pour': 1}, 'seal': {'up': 1}, 'ima': {'the': 1}, 'get': {'whole': 1}, 'lazy': {'damn': 1}, 'got': {'ima': 1}, 'mojo': {'lazy': 1}, 'deals': {'i': 1}, 'we': {'got': 1}, 'been': {'the': 1}, 'trappin': {'mojo': 1}, 'like': {'deals': 1}, '80s': {'been': 1}, 'she': {'trappin': 1}, 'sucked': {'like': 1}, 'nigga': {'80s': 1, 'out': 1}, 'soul': {'she': 1, 'i': 1}, 'gotta': {'such': 1}, 'cash': {'a': 1}, 'app': {'nigga': 1}, 'wipe': {'the': 1}, 'nose': {'told': 1}, 'say': {'em': 1}, 'slatt': {'wipe': 1, 'a': 1}, 'wont': {'no': 1}, 'never': {'say': 1}, 'sell': {'slat': 1}, 'my': {'slat': 1}, 'and': {'wont': 1}, 'can': {'sell': 1}, 'back': {'my': 1, 'at': 1}, 'that': {'soul': 1}, 'really': {'can': 1}, 'wanna': {'back': 1}, 'know': {'that': 1, 'cause': 1}, 'where': {'and': 1, 'niggas': 1}, 'you': {'i': 1}, 'was': {'where': 1}, 'stash': {'was': 1}, 'cruise': {'back': 1}, 'city': {'stash': 1}, 'bulletproof': {'city': 1}, 'cadillac': {'in': 1}, 'skrrt': {'a': 1}, 'cause': {'bulletproof': 1}, 'these': {'i': 1}, 'niggas': {'know': 1, 'nigga': 1}, 'after': {'these': 1}, 'bag': {'way': 1}, 'yeah': {'bag': 1}, 'for': {'fire': 1}, 'ill': {'i': 1}, 'playin': {'playing': 1}, 'rim': {'reign': 1}, 'probably': {'papa': 1}}","{'with': 1, 'where': 1, 'out': 1, 'at': 1, 'they': 1}"
27_Harry_Styles_Falling.txt,0.03,{'you': 1},{'around': {'to': 1}},{'run': 1}
14_Justin_Bieber_Yummy.txt,0.35,{},"{'yummyyum': {'yummy': 3, 'on': 1, 'way': 1, 'got': 1, 'the': 1}, 'that': {'yummy': 3, 'word': 1, 'my': 1, 'yeah': 2, 'you': 1, 'say': 1}, 'yummyyummy': {'yummy': 2, 'babe': 1}, 'yeah': {'yummy': 5, 'any': 1, 'say': 1, 'word': 1, 'morning': 1, 'late': 1, 'the': 1, '5050': 1, 'made': 1, 'my': 1}, 'you': {'say': 1, 'number': 1, 'it': 1, 'like': 1, 'yummy': 2}, 'got': {'the': 1, 'yeah': 1, 'yummy': 1}, 'say': {'yeah': 2, 'in': 1}, 'the': {'babe': 2, 'my': 1, 'stallion': 1, 'no': 1, 'every': 1, 'around': 1, 'spinning': 1, 'get': 1}, 'word': {'yeah': 2, 'stable': 1}, 'on': {'babe': 2, 'no': 1, 'yeah': 1, 'come': 1}, 'my': {'any': 1, 'in': 1, 'you': 1, 'yeah': 1, 'that': 1}, 'way': {'day': 1, 'the': 1, 'stay': 1, 'babe': 1}, 'babe': {'day': 1, 'the': 1, 'on': 1, 'or': 1, 'say': 1, 'word': 1, 'set': 1, 'yeah': 1}, 'any': {'my': 1, 'yeah': 1}, 'night': {'way': 1}, 'day': {'babe': 1}, 'in': {'on': 2, 'yeah': 1}, 'mornin': {'way': 1}, 'or': {'bonafide': 1}, 'late': {'aint': 1}, 'bona': {'on': 1}, 'fide': {'the': 1}, 'stallion': {'run': 1}, 'no': {'the': 1, 'youre': 1}, 'stable': {'side': 1}, 'stay': {'one': 1}, 'run': {'time': 1}, 'aint': {'i': 1}, 'side': {'you': 1}, 'youre': {'get': 1}, 'number': {'it': 1}, 'one': {'done': 1}, 'every': {'love': 1}, 'time': {'the': 1}, 'i': {'way': 1}, 'come': {'you': 1}, 'around': {'splint': 1}, 'get': {'on': 1, 'come': 1}, 'it': {'the': 1, 'magic': 1, 'jet': 1}, 'done': {'racks': 1}, 'fiftyfifty': {'on': 1}, 'love': {'me': 1}, 'split': {'a': 1}, 'hundred': {'get': 1}, 'racks': {'lit': 1}, 'help': {'and': 1}, 'me': {'babe': 1}, 'spend': {'that': 1}, 'light': {'watch': 1}, 'a': {'the': 1}, 'match': {'sunset': 1}, 'litty': {'home': 1}, 'jet': {'rolling': 1}, 'set': {'eyes': 1}, 'watch': {'back': 1}, 'sunset': {'my': 1}, 'kinda': {'hair': 1}, 'rollin': {'toes': 1}, 'eyes': {'curl': 1}, 'back': {'yeah': 1}, 'head': {'you': 1}, 'make': {'got': 1}, 'toes': {'yummy': 1}, 'curl': {'yummy': 1}}",{}
16_Lizzo_Good_as_Hell.txt,0.22,{'do': 1},"{'feeling': {'feelin': 1, 'hair': 1, 'of': 1, 'the': 1}, 'good': {'toss': 1, 'bullshit': 1}, 'as': {'check': 1, 'gone': 1}, 'hell': {'my': 1, 'dust': 1}, 'hair': {'nails': 2}, 'toss': {'baby': 2}, 'check': {'how': 2}, 'my': {'you': 2}, 'nails': {'feelin': 2}, 'baby': {'woo': 1}, 'how': {'child': 1}, 'you': {'tired': 1, 'touch': 1, 'i': 1, 'simplify': 1, 'fine': 1}, 'woo': {'your': 1}, 'child': {'shoulders': 1}, 'tired': {'off': 1}, 'of': {'keep': 1}, 'the': {'it': 1, 'its': 1, 'hair': 1}, 'bullshit': {'movin': 1}, 'go': {'yes': 1}, 'on': {'lord': 1}, 'dust': {'tryin': 1}, 'your': {'to': 1, 'a': 1, 'door': 1}, 'shoulders': {'get': 1}, 'off': {'some': 1}, 'keep': {'new': 1}, 'it': {'shit': 1}, 'moving': {'in': 1}, 'yes': {'there': 1}, 'lord': {'swimwear': 1}, 'tryna': {'goin': 1}, 'get': {'to': 1}, 'some': {'the': 1}, 'new': {'pool': 1}, 'in': {'come': 1}, 'there': {'now': 1}, 'swimwear': {'come': 1}, 'goingtothepool': {'dry': 1}, 'shit': {'your': 1}, 'come': {'eyes': 1, 'know': 1}, 'now': {'you': 1}, 'dry': {'you': 1}, 'eyes': {'star': 1}, 'know': {'can': 1, 'you': 1}, 'a': {'the': 1}, 'star': {'sky': 1}, 'can': {'know': 1}, 'touch': {'that': 1}, 'sky': {'hard': 1}, 'i': {'but': 1, 'check': 1}, 'that': {'have': 1}, 'its': {'to': 1}, 'hard': {'try': 1}, 'but': {'if': 1}, 'have': {'need': 1}, 'to': {'advice': 1}, 'try': {'let': 1}, 'if': {'me': 1, 'anymore': 1}, 'need': {'if': 1}, 'advice': {'he': 1}, 'let': {'dont': 1}, 'me': {'love': 1}, 'simplify': {'you': 1}, 'he': {'just': 1}, 'dont': {'walk': 1}, 'love': {'your': 1}, 'anymore': {'ass': 1}, 'just': {'out': 1}, 'walk': {'the': 1}, 'fine': {'i': 1}, 'ass': {'do': 1}, 'out': {'my': 1}, 'door': {'toss': 1}}",{'hair': 1}
11_Selena_Gomez_Lose_You_To_Love_Me.txt,0.14,"{'to': 1, 'love': 2, 'yeah': 1}","{'offkey': {'off': 1}, 'rosecolored': {'rose': 1}, 'all': {'are': 1}, 'on': {'in': 1}, 'hurtin': {'herd': 1}, 'dancing': {'dance': 1}, 'yeah': {'you': 3}}","{'key': 1, 'colored': 1, 'and': 1, 'that': 1}"
25_Billie_Eilish_bad_guy.txt,0.09,{'youre': 1},"{'bruises': {'roses': 1}, 'or': {'oh': 1}, 'to': {'through': 1}, 'it': {'youre': 1}, 'mama': {'momma': 1}, 'tight': {'type': 1}}",{'i': 1}
29_Jonas_Brothers_What_a_Man_Gotta_Do.txt,0.86,"{'lose': 1, 'so': 1}","{'cut': {'what': 1}, 'my': {'a': 1}, 'heart': {'man': 1}, 'about': {'gotta': 1}, 'one': {'do': 1}, 'two': {'what': 1}, 'times': {'a': 1}, 'dont': {'man': 1}, 'need': {'gotta': 1}, 'question': {'be': 1}, 'the': {'totally': 1, 'gotta': 1}, 'reason': {'locked': 1}, 'im': {'up': 1, 'you': 1, 'so': 1, 'locked': 1}, 'yours': {'by': 1, 'what': 1, 'up': 1, 'you': 1}, 'id': {'a': 1}, 'move': {'man': 1}, 'earth': {'say': 1}, 'or': {'what': 1}, 'fight': {'man': 1}, 'just': {'gotta': 1}, 'see': {'be': 1}, 'you': {'in': 1, 'night': 1, 'these': 1}, 'smile': {'last': 1}, 'cause': {'good': 1}, 'got': {'and': 1}, 'no': {'your': 1, 'good': 1}, 'flaws': {'first': 1, 'day': 1}, 'not': {'what': 1}, 'tryin': {'a': 1}, 'to': {'man': 1, 'cheap': 1, 'im': 1}, 'be': {'gotta': 1, 'plans': 1, 'gonna': 1}, 'your': {'do': 1, 'im': 1, 'i': 1}, 'parttime': {'what': 1}, 'lover': {'a': 1}, 'sign': {'man': 1}, 'me': {'gotta': 1}, 'up': {'do': 1, 'these': 1}, 'for': {'to': 1}, 'that': {'be': 1}, 'fulltime': {'totally': 1}, 'all': {'by': 1}, 'do': {'prove': 1, 'grab': 1, 'and': 1, 'be': 1}, 'what': {'you': 1, 'time': 1, 'just': 1, 'me': 1, 'doors': 1, 'your': 1}, 'a': {'aint': 1, 'on': 1, 'for': 1, 'by': 1, 'im': 1, 'parttime': 1}, 'man': {'tryna': 1, 'stupid': 1, 'you': 1, 'the': 1, 'not': 1, 'lover': 1}, 'gotta': {'be': 1, 'people': 1, 'to': 1, 'collar': 1, 'tryna': 1, 'sign': 1}, 'say': {'wasting': 1}, 'pray': {'and': 1}, 'last': {'sure': 1}, 'good': {'im': 1, 'a': 1}, 'night': {'sure': 1}, 'and': {'so': 1}, 'first': {'gave': 1}, 'day': {'million': 1}, 'so': {'dollars': 1}, 'totally': {'lock': 1}, 'locked': {'on': 1}, 'by': {'doors': 1}, 'prove': {'me': 1}}","{'do': 1, 'pray': 1}"
05_Lewis_Capaldi_Someone_You_Loved.txt,0.29,"{'no': 1, 'one': 1, 'to': 2, 'turn': 1}","{'fear': {'feel': 1, 'time': 1}, 'allornothing': {'all': 1}, 'really': {'or': 1}, 'got': {'nothing': 1}, 'a': {'really': 1}, 'way': {'got': 1}, 'of': {'away': 1}, 'liked': {'like': 1}, 'numbed': {'know': 1}, 'all': {'im': 1}, 'pain': {'poet': 1}, 'now': {'and': 1}, 'let': {'lay': 1}, 'guard': {'gun': 1}, 'pulled': {'pull': 1}, 'getting': {'scared': 1}, 'being': {'be': 1}, 'someone': {'and': 1}, 'you': {'so': 1}, 'loved': {'were': 1}, 'im': {'you': 1}, 'going': {'left': 1}, 'under': {'im': 1}, 'and': {'going': 1}, 'this': {'under': 1}, 'time': {'and': 1}, 'i': {'this': 1}, 'theres': {'i': 1}}","{'youre': 1, 'not': 1, 'all': 1, 'up': 1, 'it': 1}"
